Model,CTR,NDCG@10,Diversity (ILD),Category Entropy,Avg Reward
Random,0.08965417658730158,0.13778459786234953,0.3060176585316658,0.3573319225742413,0.166
Popularity,0.09547619047619048,0.1222070370860103,0.28428459841012954,0.34332037605794186,0.147
Supervised,0.13408772893772895,0.17218056388106764,0.2595720860362053,0.30904687288955607,0.205
DQN,0.09844722222222223,0.11752739730323196,0.27515303403139113,0.30123821113853744,0.135
CMAB,0.1536218253968254,0.1875396366761969,0.26259658551216125,0.2839419859394635,0.221
Dueling DQN,0.0924595238095238,0.11912214778083866,0.29598873561620714,0.3469794802028353,0.144
SAC,0.14015888888888889,0.1672361012638881,0.27836270368099214,0.31648389652252695,0.215
